Handles,Tweet IDs,Retweeter Handles,Locations
elonmusk,1032804122330845184,BluntBuckeye,snap - buckeye4 👻
elonmusk,1032804122330845184,Superuppawalla1,"Real Madrid,Spain"
elonmusk,1032804122330845184,Syl4art,"Lexington,KY"
elonmusk,1032804122330845184,daknycip,NYC
elonmusk,1032804122330845184,AdamWallenta,"Connecticut, USA"
elonmusk,1032804122330845184,theunchainedgod,"Chicago, IL"
elonmusk,1032804122330845184,5wiim,⠙⠗⠊⠝⠅⠀⠍⠕⠗⠑⠀⠺⠁⠞⠑⠗
elonmusk,1032804122330845184,ssshhyeeaahh,Jeddah
elonmusk,1032804122330845184,lexwithmeee,"Detroit, MI"
elonmusk,1032804122330845184,GaryNov77,"Aurora, Ontario"
elonmusk,1032804122330845184,ClydeCastro,"Virginia, USA"
elonmusk,1032804122330845184,Lux00457636,"Miami, Florida"
elonmusk,1032804122330845184,aminsenouci,Lille - France
elonmusk,1032804122330845184,BojanaJanketic,Belgrade Serbia
elonmusk,1032804122330845184,damianclode,"Cardiff, Wales"
elonmusk,1032804122330845184,yuutei_inc,幼稚園
elonmusk,1032804122330845184,NeilWatson3_,The South
elonmusk,1032804122330845184,CalebBryant2015,"Lafayette, LA"
elonmusk,1032804122330845184,quantumphysdik1,"Penticton, British Columbia"
elonmusk,1032804122330845184,max_zostant,"Oxford, MA"
elonmusk,1032804122330845184,CDavis159,"New York, USA"
elonmusk,1032804122330845184,antonlykhoyda,"Berlin, Germany"
elonmusk,1032804122330845184,qvalemangusta,Southern California
elonmusk,1032804122330845184,RealRonHoward__,"Beverly Hills, CA"
elonmusk,1032804122330845184,SJBuckman,"North Carolina, USA"
elonmusk,1032804122330845184,StupidCompanies,US National Network
elonmusk,1032804122330845184,faizzakaria,"Ampang, Wilayah Persekutuan Kuala Lumpur"
elonmusk,1032804122330845184,demar8812,"Litchfield, MI, United States"
elonmusk,1032804122330845184,MeToo20001,"Washington DC, USA"
elonmusk,1032804122330845184,UKBodyshopGuy,"Brighton, England"
elonmusk,1032804122330845184,OwaisHanzara,"Islamabad, Pakistan"
elonmusk,1032804122330845184,phytophage3,ident.me
elonmusk,1032804122330845184,infiverse77,"Burbank, CA"
elonmusk,1032804122330845184,seth_leitman,Worldwide
elonmusk,1032804122330845184,TJKan,"Buchanan, MI"
elonmusk,1032804122330845184,PostNormalEra,Global
elonmusk,1032804122330845184,HansLak,Netherlands
elonmusk,1032804122330845184,Iambobjay,United States
elonmusk,1032804122330845184,abpclub,United Kingdom
elonmusk,1032804122330845184,ikwaks,Earth
elonmusk,1032804122330845184,aaa100891,🇯🇵
elonmusk,1032804122330845184,JerusalemKid,3rd Rock from the Sun
elonmusk,1032804122330845184,RoyDL3,"Corinth, KY"
elonmusk,1032804122330845184,followed,humbled
elonmusk,1032804122330845184,MasixoleTMC,Planet TMC
elonmusk,1032804122330845184,Kickit_Back,United States
elonmusk,1032804122330845184,Cobhoza,"Sobonakhona, South Africa"
elonmusk,1032804122330845184,SuhaibBadshah9,"New Delhi, India"
elonmusk,1032804122330845184,Coolanima4lover,"Texas, USA"
elonmusk,1032804122330845184,iquanyin,"within you, without you"
elonmusk,1032804122330845184,vs_Matthias,"Turnhout, Belgium"
elonmusk,1032804122330845184,jrick,"Washington, DC"
elonmusk,1032804122330845184,kirkbell,"Melbourne, Australia"
elonmusk,1032804122330845184,Natethegreat578,"Frederick, Maryland"
elonmusk,1032804122330845184,mauramormile,"Milan, Lombardy"
elonmusk,1032804122330845184,abhomeron,nusantara
elonmusk,1032804122330845184,ethakhan,"Toronto, Ontario"
elonmusk,1032804122330845184,Mars_SpaceX,United States
mashable,1036461028429651968,kwbishop,NYC Metro
mashable,1036461028429651968,Anupama_SM,India
mashable,1036461028429651968,adamsalym,Male' Maldives
mashable,1036461028429651968,MarcGilson,Luxembourg
mashable,1036461028429651968,kazimakgul,"İstanbul, Turkey"
mashable,1036461028429651968,LLLloyd1,World Wide
mashable,1036461028429651968,daivestudio,"California, USA"
mashable,1036461028429651968,danyzynha,"New York, NY"
mashable,1036461028429651968,Mec_Ibere_Kewl,BZH
mashable,1036461028429651968,MosufiCorp,"Madhya Pradesh, India"
